Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
3493091 µs:   12048  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
3493121 µs:   12048  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:-1434164480 
3493165 µs:   12048  gzip               tracepoint:syscalls:sys_enter_access [2] arg0:0x7fd8d3527550 arg1:4 
3493183 µs:   12048  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fd8d35249fa arg2:524288 arg3:0 
3493196 µs:   12048  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffcaa8454f0 
3493206 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
3493217 µs:   12048  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
3493249 µs:   12048  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fd8d352ec70 arg2:524288 arg3:0 
3493264 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa845698 arg2:832 
3493281 µs:   12048  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
3493290 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa845290 arg2:784 
3493299 µs:   12048  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
3493308 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa845260 arg2:32 
3493316 µs:   12048  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
3493324 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa845210 arg2:68 
3493334 µs:   12048  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffcaa845540 
3493345 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
3493366 µs:   12048  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
3493380 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa845190 arg2:784 
3493394 µs:   12048  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
3493401 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa844e70 arg2:32 
3493409 µs:   12048  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
3493416 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffcaa844e50 arg2:68 
3493424 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1844408 arg2:1 arg3:2050 arg4:3 
3493438 µs:   12048  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-751665152 arg1:1654784 arg2:0 
3493458 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fd8d3328000 arg1:1351680 arg2:5 arg3:2066 arg4:3 
3493476 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fd8d3472000 arg1:299008 arg2:1 arg3:2066 arg4:3 
3493488 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fd8d34bc000 arg1:24576 arg2:3 arg3:2066 arg4:3 
3493509 µs:   12048  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fd8d34c2000 arg1:13496 arg2:3 arg3:50 arg4:-1 
3493531 µs:   12048  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
3493559 µs:   12048  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:-749963904 
3493646 µs:   12048  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-750010368 arg1:12288 arg2:1 
3493696 µs:   12048  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:572579840 arg1:4096 arg2:1 
3493713 µs:   12048  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-749551616 arg1:4096 arg2:1 
3493728 µs:   12048  gzip               tracepoint:syscalls:sys_enter_munmap [2] arg0:-749961216 arg1:235491 
3493807 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:(nil) arg2:0x7ffcaa846150 arg3:8 
3493819 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:1 arg1:(nil) arg2:0x7ffcaa846150 arg3:8 
3493826 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:13 arg1:(nil) arg2:0x7ffcaa846150 arg3:8 
3493833 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:15 arg1:(nil) arg2:0x7ffcaa846150 arg3:8 
3493840 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:24 arg1:(nil) arg2:0x7ffcaa846150 arg3:8 
3493848 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:25 arg1:(nil) arg2:0x7ffcaa846150 arg3:8 
3493855 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffcaa8460b0 arg2:(nil) arg3:8 
3493863 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:1 arg1:0x7ffcaa8460b0 arg2:(nil) arg3:8 
3493870 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:13 arg1:0x7ffcaa8460b0 arg2:(nil) arg3:8 
3493877 µs:   12048  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:15 arg1:0x7ffcaa8460b0 arg2:(nil) arg3:8 
