Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
12342242 µs:   11152  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
12342284 µs:   11152  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:1838780512 
12342333 µs:   11152  gzip               tracepoint:syscalls:sys_enter_access [2] arg0:0x7ffa50b4d550 arg1:4 
12342359 µs:   11152  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7ffa50b4a9fa arg2:524288 arg3:0 
12342396 µs:   11152  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc6d998250 
12342413 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
12342433 µs:   11152  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
12342518 µs:   11152  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7ffa50b54c70 arg2:524288 arg3:0 
12342577 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d9983f8 arg2:832 
12342605 µs:   11152  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
12342625 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d997ff0 arg2:784 
12342641 µs:   11152  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
12342655 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d997fc0 arg2:32 
12342671 µs:   11152  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
12342686 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d997f70 arg2:68 
12342704 µs:   11152  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc6d9982a0 
12342720 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
12342749 µs:   11152  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
12342769 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d997ef0 arg2:784 
12342785 µs:   11152  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
12342799 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d997bd0 arg2:32 
12342815 µs:   11152  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
12342830 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc6d997bb0 arg2:68 
12342846 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1844408 arg2:1 arg3:2050 arg4:3 
12342871 µs:   11152  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1351933952 arg1:1654784 arg2:0 
12342911 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7ffa5094e000 arg1:1351680 arg2:5 arg3:2066 arg4:3 
12342947 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7ffa50a98000 arg1:299008 arg2:1 arg3:2066 arg4:3 
12342971 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7ffa50ae2000 arg1:24576 arg2:3 arg3:2066 arg4:3 
12343011 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7ffa50ae8000 arg1:13496 arg2:3 arg3:50 arg4:-1 
12343056 µs:   11152  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
12343115 µs:   11152  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:1353635200 
12343292 µs:   11152  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1353588736 arg1:12288 arg2:1 
12343409 µs:   11152  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-843952128 arg1:4096 arg2:1 
12343439 µs:   11152  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1354047488 arg1:4096 arg2:1 
12343465 µs:   11152  gzip               tracepoint:syscalls:sys_enter_munmap [2] arg0:1353637888 arg1:235491 
12343612 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:(nil) arg2:0x7ffc6d998eb0 arg3:8 
12343642 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:1 arg1:(nil) arg2:0x7ffc6d998eb0 arg3:8 
12343660 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:13 arg1:(nil) arg2:0x7ffc6d998eb0 arg3:8 
12343680 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:15 arg1:(nil) arg2:0x7ffc6d998eb0 arg3:8 
12343700 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:24 arg1:(nil) arg2:0x7ffc6d998eb0 arg3:8 
12343722 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:25 arg1:(nil) arg2:0x7ffc6d998eb0 arg3:8 
12343749 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffc6d998e10 arg2:(nil) arg3:8 
12343777 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:1 arg1:0x7ffc6d998e10 arg2:(nil) arg3:8 
12343804 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:13 arg1:0x7ffc6d998e10 arg2:(nil) arg3:8 
12343829 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:15 arg1:0x7ffc6d998e10 arg2:(nil) arg3:8 
12343860 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:24 arg1:0x7ffc6d998e10 arg2:(nil) arg3:8 
12343887 µs:   11152  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:25 arg1:0x7ffc6d998e10 arg2:(nil) arg3:8 
12343935 µs:   11152  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x556bcdb26560 arg2:65536 arg3:0 
12343976 µs:   11152  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x556bcdb2a340 arg2:133376 arg3:0 
12344000 µs:   11152  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:4 arg1:0x556bcdb264c0 
12344134 µs:   11152  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
12344153 µs:   11152  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:-824524800 
12344195 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12344254 µs:   11152  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x556bcdb26da0 arg2:0x7ffc6d998a90 arg3:8 
12344271 µs:   11152  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:3 arg1:0x556bcdb5ef40 arg2:193 arg3:384 
12344354 µs:   11152  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:2 arg1:0x7ffc6d998a90 arg2:(nil) arg3:8 
12345549 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12346619 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12347000 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12347661 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12348656 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12349694 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12349918 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12350583 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12351227 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12351612 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12351905 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12352556 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12353287 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12353681 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12354135 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12354886 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12355527 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12355708 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12356174 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12356813 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12357229 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12357474 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12358070 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12358591 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12358810 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12359130 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12359647 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12360145 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12360261 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12360591 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12361006 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12361241 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb6f360 arg2:32768 
12361254 µs:   11152  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:4 arg1:0x556bcdb74aa5 arg2:10427 
12361429 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12361856 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:32768 
12362143 µs:   11152  gzip                tracepoint:syscalls:sys_enter_write [3] arg0:5 arg1:0x556bcdb5f340 arg2:20150 
12362175 µs:   11152  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:4 
12362188 µs:   11152  gzip            tracepoint:syscalls:sys_enter_utimensat [4] arg0:5 arg1:(nil) arg2:0x7ffc6d998930 arg3:0 
12362207 µs:   11152  gzip               tracepoint:syscalls:sys_enter_fchown [3] arg0:5 arg1:-1 arg2:998 
12362221 µs:   11152  gzip               tracepoint:syscalls:sys_enter_fchmod [2] arg0:5 arg1:420 
12362234 µs:   11152  gzip               tracepoint:syscalls:sys_enter_fchown [3] arg0:5 arg1:1000 arg2:-1 
12362245 µs:   11152  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:5 
12362259 µs:   11152  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x556bcdb26da0 arg2:0x7ffc6d998a90 arg3:8 
12362271 µs:   11152  gzip             tracepoint:syscalls:sys_enter_unlinkat [3] arg0:3 arg1:0x556bcdb2a340 arg2:0 
12362406 µs:   11152  gzip       tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:2 arg1:0x7ffc6d998a90 arg2:(nil) arg3:8 
12362432 µs:   11152  gzip           tracepoint:syscalls:sys_enter_exit_group [1] arg0:0 
14738645 µs:   11167  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
14738680 µs:   11167  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:1428630608 
14738722 µs:   11167  gzip               tracepoint:syscalls:sys_enter_access [2] arg0:0x7f59b98cc550 arg1:4 
14738752 µs:   11167  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f59b98c99fa arg2:524288 arg3:0 
14738773 µs:   11167  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc55271e40 
14738788 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
14738806 µs:   11167  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
14738857 µs:   11167  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f59b98d3c70 arg2:524288 arg3:0 
14738880 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc55271fe8 arg2:832 
14738897 µs:   11167  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
14738909 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc55271be0 arg2:784 
14738922 µs:   11167  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
14738934 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc55271bb0 arg2:32 
14738947 µs:   11167  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
14738958 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc55271b60 arg2:68 
14738972 µs:   11167  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc55271e90 
14738985 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
14739010 µs:   11167  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
14739025 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc55271ae0 arg2:784 
14739039 µs:   11167  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
14739068 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc552717c0 arg2:32 
14739082 µs:   11167  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
14739093 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc552717a0 arg2:68 
14739107 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1844408 arg2:1 arg3:2050 arg4:3 
14739128 µs:   11167  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-1184051200 arg1:1654784 arg2:0 
14739164 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f59b96cd000 arg1:1351680 arg2:5 arg3:2066 arg4:3 
14739193 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f59b9817000 arg1:299008 arg2:1 arg3:2066 arg4:3 
14739213 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f59b9861000 arg1:24576 arg2:3 arg3:2066 arg4:3 
14739244 µs:   11167  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f59b9867000 arg1:13496 arg2:3 arg3:50 arg4:-1 
14739279 µs:   11167  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
14739328 µs:   11167  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:-1182349952 
14739448 µs:   11167  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-1182396416 arg1:12288 arg2:1 
14739520 µs:   11167  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1714434048 arg1:4096 arg2:1 
14739546 µs:   11167  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-1181937664 arg1:4096 arg2:1 
14739566 µs:   11167  gzip               tracepoint:syscalls:sys_enter_munmap [2] arg0:-1182347264 arg1:235491 
14739680 µs:   11167  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:(nil) arg2:0x7ffc55272aa0 arg3:8 
14739698 µs:   11167  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:1 arg1:(nil) arg2:0x7ffc55272aa0 arg3:8 
