Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
3953141 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f51a60 arg2:0x7fff43f519c0 arg3:8 
3953158 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f51a60 arg2:0x7fff43f519c0 arg3:8 
3953164 µs:   31763  zsh                  tracepoint:syscalls:sys_enter_read [3] arg0:10 arg1:0x7fff43f51bff arg2:1 
3953171 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f51a60 arg2:0x7fff43f519c0 arg3:8 
3953183 µs:   31763  zsh                 tracepoint:syscalls:sys_enter_fcntl [3] arg0:0 arg1:0 arg2:10 
3953191 µs:   31763  zsh                 tracepoint:syscalls:sys_enter_close [1] arg0:0 
3953202 µs:   31763  zsh                tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f934d01c351 arg2:258 arg3:0 
3953250 µs:   31763  zsh                  tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:16384 arg2:3 arg3:34 arg4:-1 
3953271 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f517a0 arg2:0x7fff43f51700 arg3:8 
3953293 µs:   31763  zsh                  tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:16384 arg2:3 arg3:34 arg4:-1 
3953302 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4fc10 arg2:0x7fff43f4fb70 arg3:8 
3953316 µs:   31763  zsh                 tracepoint:syscalls:sys_enter_fcntl [3] arg0:0 arg1:0 arg2:10 
3953321 µs:   31763  zsh                 tracepoint:syscalls:sys_enter_close [1] arg0:0 
3953327 µs:   31763  zsh                tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f934d01c351 arg2:258 arg3:0 
3953355 µs:   31763  zsh                  tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:16384 arg2:3 arg3:34 arg4:-1 
3953370 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4de90 arg2:0x7fff43f4ddf0 arg3:8 
3953382 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4de90 arg2:0x7fff43f4ddf0 arg3:8 
3953388 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4de90 arg2:0x7fff43f4ddf0 arg3:8 
3953394 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4de90 arg2:0x7fff43f4ddf0 arg3:8 
3953408 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:0x7fff43f4de90 arg2:0x7fff43f4ddf0 arg3:8 
3953415 µs:   31763  zsh        tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:1 arg1:0x7fff43f4de90 arg2:0x7fff43f4ddf0 arg3:8 
