Attaching 299 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
1480675 µs:   32736  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
1480690 µs:   32736  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:948728176 
1480711 µs:   32736  gzip               tracepoint:syscalls:sys_enter_access [2] arg0:0x7fe8a7c72550 arg1:4 
1480722 µs:   32736  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fe8a7c6f9fa arg2:524288 arg3:0 
1480731 µs:   32736  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe388c6360 
1480737 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:235491 arg2:1 arg3:2 arg4:3 
1480744 µs:   32736  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
1480764 µs:   32736  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fe8a7c79c70 arg2:524288 arg3:0 
1480774 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe388c6508 arg2:832 
1480780 µs:   32736  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
1480786 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe388c6100 arg2:784 
1480791 µs:   32736  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
1480795 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe388c60d0 arg2:32 
1480801 µs:   32736  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
1480805 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe388c6080 arg2:68 
1480811 µs:   32736  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe388c63b0 
1480816 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:8192 arg2:3 arg3:34 arg4:-1 
1480828 µs:   32736  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
1480834 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe388c6000 arg2:784 
1480840 µs:   32736  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
1480844 µs:   32736  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe388c5ce0 arg2:32 
1480849 µs:   32736  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
