Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
6144232 µs:   11940  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
6144281 µs:   11940  gunzip         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:-2041093664 
6144343 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x7f84e63d4550 arg1:4 
6144374 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e63d19fa arg2:524288 arg3:0 
6144400 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe865753d0 
6144419 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
6144441 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6144494 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e63dbc70 arg2:524288 arg3:0 
6144525 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575578 arg2:832 
6144545 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe86575420 
6144561 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
6144591 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:334344 arg2:1 arg3:2050 arg4:3 
6144618 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6337000 arg1:163840 arg2:5 arg3:2066 arg4:3 
6144652 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e635f000 arg1:40960 arg2:1 arg3:2066 arg4:3 
6144680 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6369000 arg1:36864 arg2:3 arg3:2066 arg4:3 
6144713 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6372000 arg1:2568 arg2:3 arg3:50 arg4:-1 
6144753 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6144797 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e63734d0 arg2:524288 arg3:0 
6144820 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575558 arg2:832 
6144850 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe86575400 
6144868 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:16528 arg2:1 arg3:2050 arg4:3 
6144899 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e631d000 arg1:4096 arg2:5 arg3:2066 arg4:3 
6144936 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e631e000 arg1:4096 arg2:1 arg3:2066 arg4:3 
6144967 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e631f000 arg1:8192 arg2:3 arg3:2066 arg4:3 
6145015 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6145046 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e63739c0 arg2:524288 arg3:0 
6145074 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575538 arg2:832 
6145098 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
6145114 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575130 arg2:784 
6145131 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
6145173 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575100 arg2:32 
6145195 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
6145213 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe865750b0 arg2:68 
6145230 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe865753e0 
6145248 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
6145262 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575030 arg2:784 
6145285 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
6145299 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86574d10 arg2:32 
6145314 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
6145328 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86574cf0 arg2:68 
6145344 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1844408 arg2:1 arg3:2050 arg4:3 
6145371 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-434642944 arg1:1654784 arg2:0 
6145405 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e617e000 arg1:1351680 arg2:5 arg3:2066 arg4:3 
6145434 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e62c8000 arg1:299008 arg2:1 arg3:2066 arg4:3 
6145458 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6312000 arg1:24576 arg2:3 arg3:2066 arg4:3 
6145493 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6318000 arg1:13496 arg2:3 arg3:50 arg4:-1 
6145543 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6145592 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e6373eb0 arg2:524288 arg3:0 
6145624 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffe86575518 arg2:832 
6145643 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffe865753c0 
6145667 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:453880 arg2:1 arg3:2050 arg4:3 
6145699 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6101000 arg1:241664 arg2:5 arg3:2066 arg4:3 
6145728 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e613c000 arg1:94208 arg2:1 arg3:2066 arg4:3 
6145757 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f84e6153000 arg1:24576 arg2:3 arg3:2066 arg4:3 
6145804 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6145867 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
6145904 µs:   11940  gunzip         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:-435254400 
6146092 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432988160 arg1:12288 arg2:1 
6146442 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-434819072 arg1:20480 arg2:1 
6146498 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432934912 arg1:4096 arg2:1 
6146958 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432631808 arg1:12288 arg2:1 
6147300 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-1122942976 arg1:12288 arg2:1 
6147340 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-432173056 arg1:4096 arg2:1 
6147366 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_munmap [2] arg0:-432582656 arg1:235491 
6147539 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x558cbd0e81bf arg2:2050 arg3:0 
6147588 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6147752 µs:   11940  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
6147772 µs:   11940  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:-1119440896 
6147806 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e62e7290 arg2:524288 arg3:0 
6147832 µs:   11940  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7f84e63175e0 
6147850 µs:   11940  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:3346512 arg2:1 arg3:2 arg4:3 
6147884 µs:   11940  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
6147974 µs:   11940  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f84e62e35b8 arg2:0 arg3:0 
