Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7302521 µs:   11523  gunzip                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
7302554 µs:   11523  gunzip         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:779182608 
7302597 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x7f3326854550 arg1:4 
7302617 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f33268519fa arg2:524288 arg3:0 
7302635 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc2e715400 
7302647 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
7302661 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
7302697 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f332685bc70 arg2:524288 arg3:0 
7302717 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc2e7155a8 arg2:832 
7302731 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc2e715450 
7302742 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
7302763 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:334344 arg2:1 arg3:2050 arg4:3 
7302780 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f33267b7000 arg1:163840 arg2:5 arg3:2066 arg4:3 
7302800 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f33267df000 arg1:40960 arg2:1 arg3:2066 arg4:3 
7302819 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f33267e9000 arg1:36864 arg2:3 arg3:2066 arg4:3 
7302841 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f33267f2000 arg1:2568 arg2:3 arg3:50 arg4:-1 
7302869 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
7302924 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f33267f34d0 arg2:524288 arg3:0 
7302946 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc2e715588 arg2:832 
7302972 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc2e715430 
7302982 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:16528 arg2:1 arg3:2050 arg4:3 
7302994 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7f332679d000 arg1:4096 arg2:5 arg3:2066 arg4:3 
