Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7613792 µs:   11788  gzip                  tracepoint:syscalls:sys_enter_brk [1] arg0:0 
7613853 µs:   11788  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:-2027213936 
7613933 µs:   11788  gzip               tracepoint:syscalls:sys_enter_access [2] arg0:0x7fb653ab0550 arg1:4 
7613984 µs:   11788  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fb653aad9fa arg2:524288 arg3:0 
7614021 µs:   11788  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7fff872b1d80 
7614054 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
7614083 µs:   11788  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
7614171 µs:   11788  gzip               tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fb653ab7c70 arg2:524288 arg3:0 
7614205 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b1f28 arg2:832 
7614227 µs:   11788  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
7614243 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b1b20 arg2:784 
7614271 µs:   11788  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
7614289 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b1af0 arg2:32 
7614307 µs:   11788  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
7614324 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b1aa0 arg2:68 
7614344 µs:   11788  gzip             tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7fff872b1dd0 
7614366 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
7614411 µs:   11788  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
7614435 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b1a20 arg2:784 
7614452 µs:   11788  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
7614466 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b1700 arg2:32 
7614482 µs:   11788  gzip                tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
7614497 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7fff872b16e0 arg2:68 
7614514 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1844408 arg2:1 arg3:2050 arg4:3 
7614542 µs:   11788  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1401622528 arg1:1654784 arg2:0 
7614587 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fb6538b1000 arg1:1351680 arg2:5 arg3:2066 arg4:3 
7614622 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fb6539fb000 arg1:299008 arg2:1 arg3:2066 arg4:3 
7614645 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fb653a45000 arg1:24576 arg2:3 arg3:2066 arg4:3 
7614683 µs:   11788  gzip                 tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fb653a4b000 arg1:13496 arg2:3 arg3:50 arg4:-1 
7614729 µs:   11788  gzip                tracepoint:syscalls:sys_enter_close [1] arg0:3 
7614793 µs:   11788  gzip           tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:4098 arg1:1403323776 
7614960 µs:   11788  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1403277312 arg1:12288 arg2:1 
7615058 µs:   11788  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:-168103936 arg1:4096 arg2:1 
7615131 µs:   11788  gzip             tracepoint:syscalls:sys_enter_mprotect [3] arg0:1403736064 arg1:4096 arg2:1 
7615174 µs:   11788  gzip               tracepoint:syscalls:sys_enter_munmap [2] arg0:1403326464 arg1:235491 
7615353 µs:   11788  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:(nil) arg2:0x7fff872b29e0 arg3:8 
7615386 µs:   11788  gzip         tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:1 arg1:(nil) arg2:0x7fff872b29e0 arg3:8 
