Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
15787113 µs:   9231   oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
15787146 µs:   9231   oggenc         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:-1126513856 
15787187 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_access [2] arg0:0x7fa7df816550 arg1:4 
15787208 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df8139fa arg2:524288 arg3:0 
15787225 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab530 
15787237 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:235491 arg2:1 arg3:2 arg4:3 
15787253 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15787287 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df81dc70 arg2:524288 arg3:0 
15787309 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab6d8 arg2:832 
15787323 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab580 
15787334 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:8192 arg2:3 arg3:34 arg4:-1 
15787353 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:2785360 arg2:5 arg3:2050 arg4:3 
15787374 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-547778560 arg1:2093056 arg2:0 
15787395 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df798000 arg1:118784 arg2:3 arg3:2066 arg4:3 
15787431 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15787459 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df7b54d0 arg2:524288 arg3:0 
15787479 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab6b8 arg2:832 
15787491 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab560 
15787503 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:2273296 arg2:5 arg3:2050 arg4:3 
15787518 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-550461440 arg1:2097152 arg2:0 
15787542 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df50a000 arg1:8192 arg2:3 arg3:2066 arg4:3 
15787575 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15787609 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df7b59c0 arg2:524288 arg3:0 
15787628 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab698 arg2:832 
15787642 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab540 
15787654 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:426016 arg2:1 arg3:2050 arg4:3 
15787669 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df280000 arg1:344064 arg2:5 arg3:2066 arg4:3 
15787690 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df2d4000 arg1:36864 arg2:1 arg3:2066 arg4:3 
15787708 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df2dd000 arg1:12288 arg2:3 arg3:2066 arg4:3 
15787738 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15787759 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df7b5eb0 arg2:524288 arg3:0 
15787775 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab678 arg2:832 
15787791 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab520 
15787807 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:1331224 arg2:1 arg3:2050 arg4:3 
15787826 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df140000 arg1:638976 arg2:5 arg3:2066 arg4:3 
15787847 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df1dc000 arg1:626688 arg2:1 arg3:2066 arg4:3 
15787864 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df275000 arg1:8192 arg2:3 arg3:2066 arg4:3 
15787905 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15787921 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df7b63a0 arg2:524288 arg3:0 
15787936 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab658 arg2:832 
15787947 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab500 
15787956 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:(nil) arg1:2121744 arg2:5 arg3:2050 arg4:3 
15787968 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:-554504192 arg1:2097152 arg2:0 
15787981 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0x7fa7df12f000 arg1:8192 arg2:3 arg3:2066 arg4:3 
15788004 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
15788021 µs:   9231   oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7fa7df7b6890 arg2:524288 arg3:0 
15788035 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab638 arg2:832 
15788045 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
15788054 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab230 arg2:784 
15788062 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
15788070 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab200 arg2:32 
15788078 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
15788086 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab1b0 arg2:68 
15788095 µs:   9231   oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffdbcdab4e0 
15788103 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:64 arg2:0 
15788111 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdab130 arg2:784 
15788122 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:848 arg2:0 
15788132 µs:   9231   oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffdbcdaae10 arg2:32 
15788141 µs:   9231   oggenc              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:880 arg2:0 
