Attaching 299 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
16212901 µs:   32509  oggenc                tracepoint:syscalls:sys_enter_brk [1] arg0:0 
16212950 µs:   32509  oggenc         tracepoint:syscalls:sys_enter_arch_prctl [2] arg0:12289 arg1:328031712 
16213006 µs:   32509  oggenc             tracepoint:syscalls:sys_enter_access [2] arg0:0x7f6540da3550 arg1:4 
16213045 µs:   32509  oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f6540da09fa arg2:524288 arg3:0 
16213077 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc138d4fd0 
16213099 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:235491 arg2:1 arg3:2 arg4:3 
16213122 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
16213171 µs:   32509  oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f6540daac70 arg2:524288 arg3:0 
16213203 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d5178 arg2:832 
16213225 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc138d5020 
16213242 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:8192 arg2:3 arg3:34 arg4:-1 
16213271 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:2785360 arg2:5 arg3:2050 arg4:3 
16213295 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_mprotect [3] arg0:1085431808 arg1:2093056 arg2:0 
16213326 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:1087524864 arg1:118784 arg2:3 arg3:2066 arg4:3 
16213386 µs:   32509  oggenc              tracepoint:syscalls:sys_enter_close [1] arg0:3 
16213421 µs:   32509  oggenc             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x7f6540d424d0 arg2:524288 arg3:0 
16213446 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc138d5158 arg2:832 
16213465 µs:   32509  oggenc           tracepoint:syscalls:sys_enter_newfstat [2] arg0:3 arg1:0x7ffc138d5000 
16213482 µs:   32509  oggenc               tracepoint:syscalls:sys_enter_mmap [5] arg0:0 arg1:2273296 arg2:5 arg3:2050 arg4:3 
